"HostName","IP","MAC","FQDN","Status","V-ID","Severity","RuleID","RuleTitle","Discussion","CheckText","FixText","Control","AssessmentProcedure","CCIReference","FindingDetails","Comments","SeverityOverride","Override/Justification"
"SRV-VM05","192.168.10.170","8A:03:37:56:A7:64","SRV-PRINT01.company.local","Open","V-205689","medium","SV-258071r863599","Windows Server 2019 printing over HTTP must be turned off.","Firewall rules control network traffic and prevent unauthorized access.","Verify that unnecessary network services are disabled.","Apply available system patches and configure automatic updates.","AU-9","Examine running services and disable unnecessary ones.","CCI-000299","This finding was identified during the security assessment of SRV-VM05. The system requires configuration changes to meet security requirements.","This item requires attention from the system administrator.","N/A","N/A"
"SRV-MAIL05","192.168.229.184","42:77:BB:B2:2D:C4","SRV-NET05.dev.company.com","Not_Applicable","V-258125","medium","SV-257834r947128","The pcscd service on RHEL 9 must be active.","System patches address security vulnerabilities and should be applied regularly.","Confirm that audit logging is enabled and properly configured.","Configure password complexity requirements in the system settings.","CM-4","Check system patch levels and update procedures.","CCI-000409","This finding was identified during the security assessment of SRV-MAIL05. The system requires configuration changes to meet security requirements.","This item requires attention from the system administrator.","N/A","N/A"
"SRV-STORAGE03","192.168.72.109","DF:CA:17:A9:4D:DB","SRV-APP03.dev.company.com","Open","V-220721","medium","SV-205689r268358","The Telnet Client must not be installed on the system.","Firewall rules control network traffic and prevent unauthorized access.","Verify that unnecessary network services are disabled.","Enable and configure audit logging according to security requirements.","SC-41","Review system configuration settings for password policies.","CCI-000273","This finding was identified during the security assessment of SRV-STORAGE03. The system requires configuration changes to meet security requirements.","This item requires attention from the system administrator.","N/A","N/A"
"SRV-STORAGE05","192.168.190.104","52:04:F9:84:13:7E","SRV-PRINT03.test.company.com","Open","V-220920","medium","SV-254306r928045","The machine inactivity limit must be set to 15 minutes, locking the system with the screensaver.","Unnecessary network services increase the attack surface and should be disabled.","Check if password complexity requirements are configured in the system settings.","Configure password complexity requirements in the system settings.","SC-43","Review system configuration settings for password policies.","CCI-000586","This finding was identified during the security assessment of SRV-STORAGE05. The system requires configuration changes to meet security requirements.","This item requires attention from the system administrator.","N/A","N/A"
"SRV-FILE01","192.168.94.167","6A:A1:AD:CF:3A:6B","SRV-DHCP02.prod.company.com","Open","V-257970","medium","SV-257849r360708","RHEL 9 must not enable IPv4 packet forwarding unless the system is a router.","System patches address security vulnerabilities and should be applied regularly.","Verify that unnecessary network services are disabled.","Apply available system patches and configure automatic updates.","SC-6","Review system configuration settings for password policies.","CCI-000336","This finding was identified during the security assessment of SRV-FILE01. The system requires configuration changes to meet security requirements.","This item requires attention from the system administrator.","N/A","N/A"
"SRV-DB01","192.168.27.47","67:71:1A:44:FB:CC","SRV-STORAGE03.test.company.com","Not_Reviewed","V-251711","medium","SV-230300r578744","RHEL 8 must specify the default ""include"" directory for the /etc/sudoers file.","Password complexity requirements help prevent brute force attacks by ensuring passwords are difficult to guess.","Verify that system patches are up to date.","Apply available system patches and configure automatic updates.","SC-11","Check audit log configuration and verify logging is active.","CCI-000543","This finding was identified during the security assessment of SRV-DB01. The system requires configuration changes to meet security requirements.","This item requires attention from the system administrator.","N/A","N/A"
"SRV-PRINT03","192.168.150.87","14:C3:AE:83:F4:54","SRV-CONTAINER05.enterprise.net","Open","V-270739","medium","SV-258214r628876","Ubuntu 24.04 LTS must encrypt all stored passwords with a FIPS 140-3 approved cryptographic hashing algorithm.","System patches address security vulnerabilities and should be applied regularly.","Verify that unnecessary network services are disabled.","Configure password complexity requirements in the system settings.","CM-10","Review system configuration settings for password policies.","CCI-000534","This finding was identified during the security assessment of SRV-PRINT03. The system requires configuration changes to meet security requirements.","This item requires attention from the system administrator.","N/A","N/A"
"SRV-MONITOR04","192.168.34.18","F1:16:FB:94:05:D6","SRV-STORAGE01.prod.company.com","Open","V-254436","medium","SV-220936r938406","Windows Server 2022 Deny log on as a batch job user right on domain-joined member servers must be configured to prevent access from highly privileged domain accounts and from unauthenticated access on all systems.","Firewall rules control network traffic and prevent unauthorized access.","Verify that unnecessary network services are disabled.","Configure firewall rules to control network traffic.","IA-5","Examine running services and disable unnecessary ones.","CCI-000308","This finding was identified during the security assessment of SRV-MONITOR04. The system requires configuration changes to meet security requirements.","This item requires attention from the system administrator.","N/A","N/A"
"SRV-PRINT03","192.168.234.80","D2:C2:25:95:DA:1F","SRV-MAIL04.prod.company.com","Open","V-258182","medium","SV-270655r125653","RHEL 9 must audit all uses of the setfacl command.","Audit logging provides visibility into system activities and helps detect security incidents.","Check if firewall rules are configured and active.","Disable unnecessary network services through system configuration.","SI-19","Check audit log configuration and verify logging is active.","CCI-000203","This finding was identified during the security assessment of SRV-PRINT03. The system requires configuration changes to meet security requirements.","This item requires attention from the system administrator.","N/A","N/A"
"SRV-NET03","192.168.161.65","88:77:A7:99:4D:E0","SRV-SEC02.company.local","Open","V-258182","medium","SV-257959r472626","RHEL 9 must audit all uses of the setfacl command.","System patches address security vulnerabilities and should be applied regularly.","Verify that system patches are up to date.","Disable unnecessary network services through system configuration.","AC-6","Examine running services and disable unnecessary ones.","CCI-000253","This finding was identified during the security assessment of SRV-NET03. The system requires configuration changes to meet security requirements.","This item requires attention from the system administrator.","N/A","N/A"
